"CO_TIPO_ESTABELECIMENTO";"DS_TIPO_ESTABELECIMENTO";"DS_CONCEITO_TIPO"
"000";"OUTROS";""
"001";"UNIDADE BASICA DE SAUDE";""
"002";"CENTRAL DE GESTAO EM SAUDE";""
"003";"CENTRAL DE REGULACAO";""
"004";"CENTRAL DE ABASTECIMENTO";""
"005";"CENTRAL DE TRANSPLANTE";""
"006";"HOSPITAL";""
"007";"CENTRO DE ASSISTENCIA OBSTETRICA E NEONATAL NORMAL";""
"008";"PRONTO ATENDIMENTO";""
"009";"FARMACIA";""
"010";"UNIDADE DE ATENCAO HEMATOLOGICA E/OU HEMOTERAPICA";""
"011";"NUCLEO DE TELESSAUDE";""
"012";"UNIDADE DE ATENCAO DOMICILIAR";""
"013";"POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";""
"014";"CASAS DE APOIO A SAUDE";""
"015";"UNIDADE DE REABILITACAO";""
"016";"AMBULATORIO";""
"017";"UNIDADE DE ATENCAO PSICOSSOCIAL";""
"018";"UNIDADE DE APOIO DIAGNOSTICO";""
"019";"UNIDADE DE TERAPIAS ESPECIAIS";""
"020";"LABORATORIO DE PROTESE DENTARIA";""
"021";"UNIDADE DE VIGILANCIA DE ZOONOSES";""
"022";"LABORATORIO DE SAUDE PUBLICA";""
"023";"CENTRO DE REFERENCIA EM SAUDE DO TRABALHADOR";""
"024";"SERVICO DE VERIFICACAO DE OBITO";""
"025";"CENTRO DE IMUNIZACAO";""
